id,chemical_name,status,category,restriction_details,registered_formulations
214,Ethion,REGISTERED,UNKNOWN,,Ethion 50% EC | Ethion 40% + Cypermethrin 5% EC
215,Ethiprole,REGISTERED,UNKNOWN,,Ethiprole 10.7% + Pymetrozine 40% WG | Ethiprole 40% + Imidacloprid 40% WG
216,Ethofenprox,REGISTERED,UNKNOWN,,
217,Ethoxysulfuron,REGISTERED,UNKNOWN,,Ethoxysulfuron15% WDG
218,Ethylene Dichloride And Carbon Tetrachloride Mixture,REGISTERED,UNKNOWN,,
219,Etoxazole,REGISTERED,UNKNOWN,,Etoxazole10% SC | Etoxazole 6 % + Abamectin 1.5 % SC
220,Famoxadone,REGISTERED,UNKNOWN,,Famoxadone 16.6%+Cymoxanil 22.1%SC
221,Fenamidone,REGISTERED,UNKNOWN,,Fenamidone 10%+Mancozeb 50%WDG | Fenamidone 4.44% + Fosetyl-Al 66.66%WDG
222,Fenazaquin,REGISTERED,UNKNOWN,,Fenazaquin10% EC | Fenazaquin18.3% SC | Fenazaquin10% + Bifenthrin 4% EC
223,Fenmezoditiaz,REGISTERED,UNKNOWN,,Fenmezoditiaz 200 g/l SC | Fenmezoditiaz 10% WG
224,Fenobucarb,REGISTERED,UNKNOWN,,Fenobucarb
225,Fenoxanil,REGISTERED,UNKNOWN,,Fenoxanil 5%+ Isoprothiolane 30% EC
226,Fenoxaprop-P-Ethyl,REGISTERED,UNKNOWN,,Fenoxaprop-p-ethyl 10%EC | Fenoxaprop-p-ethyl 6.7%w/w EC | Fenoxaprop-p-ethyl 9%w/w DF | Fenoxaprop-p-ethyl 9.3%w/w EC | Fenoxaprop-p-ethyl 7.77%+ Metribuzin13.6% EC | Fenoxaprop-p-ethyl 6% + Chlorimuron ethyl 0.9% + Imazethapyr 10% SC
227,Fenpropathrin,REGISTERED,UNKNOWN,,Fenpropathrin 10% EC | Fenpropathrin 10% EW | Fenpropathrin 30% EC
228,Fenpyroximate,REGISTERED,UNKNOWN,,Fenpyroximate 05% EC | Fenpyroximate 05% SC
229,Fenvalerate,REGISTERED,UNKNOWN,,Fenvalerate 00.40% DP | Fenvalerate 02% Conc | Fenvalerate 20% EC
230,Fipronil,REGISTERED,UNKNOWN,,Fipronil 0.03% Gel | Fipronil 0.05% GEL | Fipronil 0.30% GR | Fipronil 0.60%w/w GR | Fipronil 0.6% WG | Fipronil 0.8% WG | Fipronil 2.92% EC | Fipronil 5% SC | Fipronil 18.87% w/w SC | Fipronil 80% WG | Fipronil 10% + Diafenthiuron 30% WG | Fipronil 12.5% + Lambda-cyhalothrin 5% ZC | Fipronil 15% + Deltamethrin 2.5% SC | Fipronil 15%+ Flonicamid 15% WDG | Fipronil 2.50% + Propargite 35.00% SE | Fipronil 4%+ Acetamiprid 4%w/w SC | Fipronil 4%+ Thiamethoxam 4%w/w SC | Fipronil 40%+ Imidacloprid 40% WG | Fipronil 15 % + Imidacloprid 5 % SC | Fipronil 5% + Buprofenzin 20% SC | Fipronil 15 % + Chlorantraniliprole 5 % SC | Fipronil 7% + Hexythiazox 2%w/w SC | Fipronil 8% + Pymetrozine 35% WG
231,Flazasulfuron,REGISTERED,UNKNOWN,,Flazasulfuron 10% WP
232,Flocoumafen,REGISTERED,UNKNOWN,,Flocoumafen 0.005% Block Bait
233,Flometoquin,REGISTERED,UNKNOWN,,Flometoquin 10% SC
234,Flonicamid,REGISTERED,UNKNOWN,,Flonicamid 50% WG | Flonicamid 11.7% + Diafenthiuron 36% WG | Flonicamid 20% + Fipronil 8% SC | Flonicamid 18% + Spirotetramat 13.5% SC | Flonicamid 20% + Chlorantraniliprole 8% + Abamectin 2% SC
235,Florasulam,REGISTERED,UNKNOWN,,
236,Florpyrauxifen-Benzyl,REGISTERED,UNKNOWN,,Florpyrauxifen-benzyl 2.7% EC | Florpyrauxifen-benzyl 1.31% +Penoxsulam 2.1%OD | Florpyrauxifen-benzyl 2.13% + Cyhalofop butyl 10.64% EC
237,Fluazifop-P-Butyl,REGISTERED,UNKNOWN,,Fluazifop-p-butyl 13.4% EC | Fluazifop-p-butyl 11.1%+Fomesafen 11.1%SL
238,Fluazaindolizine,REGISTERED,UNKNOWN,,Fluazaindolizine 41.15% SC
239,Flubendiamide,REGISTERED,UNKNOWN,,Flubendiamide 00.70% GR | Flubendiamide 20%WG | Flubendiamide 39.35% w/w SC | Flubendiamide19.92% + Thiacloprid19.92% SC | Flubendiamide 3.50% + Hexaconazole 5% WG | Flubendiamide 4%+ Buprofezin 20%SC | Flubendiamide 7.5%+ Kresoximmethyl 37.5% SC | Flubendiamide 8.33%+ Deltamethrin 5.56% SC | Flubendiamide 3.5%+Hexaconzole 5%WG | Flubendiamide 7.5%+Kresoxim methyl 37.5%SC
240,Flucetosulfuron,REGISTERED,UNKNOWN,,Flucetosulfuron10% WG
241,Fluchloralin,REGISTERED,UNKNOWN,,Fluchloralin 45%EC
242,Fludioxonil,REGISTERED,UNKNOWN,,Fludioxonil 20.4% SC
243,Fluensulfone,REGISTERED,UNKNOWN,,Fluensulfone 2% GR
244,Flufenacet,REGISTERED,UNKNOWN,,Flufenacet 60%DF
245,Flufenoxuron,REGISTERED,UNKNOWN,,Flufenoxuron 10% DC
246,Flufenzine,REGISTERED,UNKNOWN,,
247,Fluindapyr,REGISTERED,UNKNOWN,,Fluindapyr 20.9% + Flutriafol 20.9% SC
248,Flumioxazin,REGISTERED,UNKNOWN,,Flumioxazin 50%SC
249,Fluopicolide,REGISTERED,UNKNOWN,,Fluopicolide 5.56%+Propamocarbhydrochloride 55.6%SC | Fluopicolide 17.54% + Cymoxanil 21.05% SC
250,Fluopyram,REGISTERED,UNKNOWN,,Fluopyram 34.48 % w/w SC | Fluopyram 17.7%+Tebuconazole 17.7% SC | Fluopyram 21.37% + Trifloxystrobin 21.37% SC
251,Flupyradifurone,REGISTERED,UNKNOWN,,Flupyradifurone 17.09% w/w SL
252,Flupyrimin,REGISTERED,UNKNOWN,,Flupyrimin 10%SC | Flupyrimin 2%GR | Flupyrimin 41.32% FS
253,Flurochloridone,REGISTERED,UNKNOWN,,Flurochloridone18.3%CS
254,Fluroxypyr Meptyl,REGISTERED,UNKNOWN,,Fluroxypyr meptyl 48%w/v
255,Flusilazole,REGISTERED,UNKNOWN,,Flusilazole 40% EC
256,Fluthiacet Methyl,REGISTERED,UNKNOWN,,Fluthiacet methyl 10.3%EC
257,Flutriafol,REGISTERED,UNKNOWN,,
258,Fluvalinate,REGISTERED,UNKNOWN,,Fluvalinate 25% EC
259,Fluoxametamide,REGISTERED,UNKNOWN,,
260,Fluxapyroxad,REGISTERED,UNKNOWN,,Fluxapyroxad 333g/l FS | Fluxapyroxad 167g/L+Pyraclostrobin 333g/lSC | Fluxapyroxad 250g/l + Pyraclostrobin 250g/l SC | Fluxapyroxad 62.5g/l +Epoxiconazole 62.5g/l EC | Fluxapyroxad 75g/l +Difenoconazole 50g/l SC
261,Fluoxapiprolin,REGISTERED,UNKNOWN,,Fluoxapiprolin 1.9% SC
262,Fomesafen,REGISTERED,UNKNOWN,,Fomesafen 250 g/l | Fomesafen12%+ Quizalofop ethyl 3%SC | Fomesafen 12.5% + Fenoxaprop-p-Ethyl 10% + Chlorimuron Ethyl 0.9% ME | Fomesafen 12.5% + Quizalofop ethyl 4.68% EC | Fomesafen 16.8% + Propaquizafop 5.2% ME | Fomesafen 17.5% + Clodinafop-propargyl 12.5% ME
263,Forchlorfenuron,REGISTERED,UNKNOWN,,Forchlorfenuron | Forchlorfenuron 0.12% EC
264,Fosetyl-Al,REGISTERED,UNKNOWN,,Fosetyl-Al 80% WP
265,Gibberellic Acid,REGISTERED,UNKNOWN,,Gibberellic Acid 0.001% L | Gibberellic Acid 0.1% GR | Gibberellic Acid 0.186% SP | Gibberellic Acid 0.45% SL | Gibberellic Acid 40% WSG | Gibberellic Acid Technical 90 % w/w | Gibberellic acid 1.8% + 6-Benzyl Adenine 1.8% L
266,Glufosinate Ammonium,REGISTERED,UNKNOWN,,Glufosinate Ammonium13.5% SL | Glufosinate Ammonium 50% WG | Glufosinate ammonium 11.65% + Metolachlor 27.30% EW | Glufosinate ammonium 13.4% + Oxyfluorfen 4.8% w/w EW | Glufosinate ammonium 14.3% + Glyphosate
267,Glyphosate,REGISTERED,UNKNOWN,,
268,Glyphosate Ammonium Salt,REGISTERED,UNKNOWN,,Glyphosate Ammonium Salt 20% SL | Glyphosate Ammonium Salt 5%SL | Glyphosate Ammonium Salt 71%SG
269,Glyphosate Potassium Salt,REGISTERED,UNKNOWN,,Glyphosate potassium salt 41.60%
270,Gossyplure,REGISTERED,UNKNOWN,,
271,Halauxifen-Methyl,REGISTERED,UNKNOWN,,
272,Haloxyfop-R-Methyl,REGISTERED,UNKNOWN,,
273,Halosulfuron Methyl,REGISTERED,UNKNOWN,,Halosulfuron methyl 75%WG | Halosulfuron methyl 12%+Metribuzin55%WG | Halosulfuron methyl 6% + Metribuzin 50% WG | Halosulfuron methyl 5%+Atrazine48%WG
274,Hexaconazole,REGISTERED,UNKNOWN,,Hexaconazole 0.5% GR | Hexaconazole 2% SC | Hexaconazole 5% EC | Hexaconazole 5% SC | Hexaconazole 75% WG | Hexaconazole 4%+Carbendazim16%w/w SC | Hexaconazole 4%+ Zineb 68%WP | Hexaconazole 5%+Validamycin 2.5%SC
275,Hexazinone,REGISTERED,UNKNOWN,,Hexazinone13.2% + Diuron 46.8% WP
276,Hexythiazox,REGISTERED,UNKNOWN,,Hexythiazox 5.45% w/w EC | Hexythiazox 3.5 + Diafenthiuron 42% WDG
277,Hydrogen Cyanamide,REGISTERED,UNKNOWN,,
278,Imazamox,REGISTERED,UNKNOWN,,
279,Imazapyr,REGISTERED,UNKNOWN,,
280,Imazapic,REGISTERED,UNKNOWN,,Imazapic 17.5% + Imazapyr 52.5% WG
281,Imazethapyr,REGISTERED,UNKNOWN,,Imazethapyr 10%SL | Imazethapyr 10%SL+ Surfactant | Imazethapyr 70% WG + Surfactant | Imazethapyr 35%+Imazamox35%WG
282,Imazosulfuron,REGISTERED,UNKNOWN,,Imazosulfuron 1% + Pretilachlor 8% GR
283,Imidacloprid,REGISTERED,UNKNOWN,,Imidacloprid 0.03% w/w Gel | Imidacloprid 0.30% GR | Imidacloprid 2.15% w/w Gel | Imidacloprid 17.1%w/w SL | Imidacloprid 17.80% SL | Imidacloprid 30.50% m/m SC | Imidacloprid 48%FS | Imidacloprid 70% WG | Imidacloprid 70% WS | Imidacloprid 18.50% + Hexaconazole1.50% FS | Imidacloprid 20%+ Bifenthrin 8% SL | Imidacloprid 21% + Beta-cyfluthrin10.5% SC | Imidacloprid 6.0% + Lambdacyhalothrin 4.0% SL | Imidacloprid 18.5%+Hexaconzole1.5%FS
284,Imiprothrin,REGISTERED,UNKNOWN,,Imiprothrin 0.05% + Cypermethrin 1.0% CL | Imiprothrin 0.07% + Cypermethrin 0.20% Aerosol | Imiprothrin 0.1% + Cyphenothrin 0.15%
285,Indaziflam,REGISTERED,UNKNOWN,,Indaziflam1.65% + Glyphosate Isopropyl Ammonium 44.63%SC
286,Indoxacarb,REGISTERED,UNKNOWN,,Indoxacarb 14.50 % SC | Indoxacarb 15.80 % EC | Indoxacarb 10% + Thiamethoxam 10% WG | Indoxacarb 14.5% + Acetamiprid 7.7% SC | Indoxacarb 5% + Fipronil 5% SC | Indoxacarb 12%
287,Inpyrfluxam,REGISTERED,UNKNOWN,,Inpyrfluxam 6% + Tebuconazole 20% SC
288,Iodosulfuron Methyl Sodium,REGISTERED,UNKNOWN,,
289,Ipfencarbazone,REGISTERED,UNKNOWN,,Ipfencarbazone 25% SC
290,Ipflufenoqin,REGISTERED,UNKNOWN,,
291,Iprobenfos,REGISTERED,UNKNOWN,,Iprobenfos | Iprobenfos
292,Iprodione,REGISTERED,UNKNOWN,,Iprodione 50% WP
293,Iprovalicarb,REGISTERED,UNKNOWN,,Iprovalicarb 5.5% + Propineb 61.25%WP | Iprovalicarb 8.4% + copper oxychloride 68.2% w/w
294,Isocycloseram,REGISTERED,UNKNOWN,,Isocycloseram 9.2% w/w DC | Isocycloseram 18.1% SC
295,Isoprothiolane,REGISTERED,UNKNOWN,,Isoprothiolane 40% EC | Isoprothiolane 28% + Fipronil 5% EC | Isoprothiolane 28%+Fipronil 5% EC
296,Isoproturon,REGISTERED,UNKNOWN,,Isoproturon 50%WP | Isoproturon 75%WP
297,Isopyrazam,REGISTERED,UNKNOWN,,Isopyrazam 11.16% w/w + Azoxystrobin 17.86% w/w SC | Isopyrazam 11.5% w/w + Difenoconazole 11.5% w/w SC
298,Kasugamycin,REGISTERED,UNKNOWN,,Kasugamycin 3% SL | Kasugamycin 5% + Copper Oxychloride 45%WP | Kasugamycin 6% +Thiafluzamide 26% SC
299,Kresoxim Methyl,REGISTERED,UNKNOWN,,
300,Lambdacyhalothrin,REGISTERED,UNKNOWN,,
301,Lime Sulphur,REGISTERED,UNKNOWN,,Lime Sulphur 22% SC
302,Lufenuron,REGISTERED,UNKNOWN,,Lufenuron 4% + Emamectin Benzoate 1.5% EC | Lufenuron 20% + Chlorantraniliprole 10% + Pyriproxyfen 5% WG
303,Magnesium Phosphide Plates,REGISTERED,UNKNOWN,,
304,Mandipropamid,REGISTERED,UNKNOWN,,Mandipropamid 23.4% SC | Mandipropamid 5.0%+Mancozeb 60.0%WG
305,"Mcpa, Amine Salt",REGISTERED,UNKNOWN,,"MCPA, Amine salt 40%WSC"
306,Mefentrifluaconazole,REGISTERED,UNKNOWN,,Mefentrifluaconazole 133g/l + Fluxapyroxad 89g/l +Pyraclostrobin 178 g/l SC
307,Mepiquat Chloride,REGISTERED,UNKNOWN,,Mepiquat chloride 5% AS
308,Meptyldinocap,REGISTERED,UNKNOWN,,Meptyldinocap 35.7% EC
309,Mesosulfuron Methyl,REGISTERED,UNKNOWN,,Mesosulfuron methyl 3% +Iodosulfuronmethylsodium0.6% WG
310,Mesotrione,REGISTERED,UNKNOWN,,Mesotrione2.27%+Atrazine 22.7%SC
311,Metaflumizone,REGISTERED,UNKNOWN,,Metaflumizone 22%SC
312,Metalaxyl,REGISTERED,UNKNOWN,,Metalaxyl–M 31.8% ES | Metalaxyl 35% WS | Metalaxyl–M 3.3%+Chlorothalonil 33.1%SC | Metalaxyl-M 3.9%+Mancozeb 64%WG | Metalaxyl-M 8%+Mancozeb 64%WP | Metalaxyl-M 4%+Mancozeb 64%WP
313,Metalaxyl-M,REGISTERED,UNKNOWN,,
314,Metaldehyde,REGISTERED,UNKNOWN,,Metaldehyde 2.5%DP
315,Metamifop,REGISTERED,UNKNOWN,,Metamifop 10%EC | Metamifop 8% + Imazethapyr 4% + Imazamox 3% ME
316,Metamitron,REGISTERED,UNKNOWN,,Metamitron 70%SC
317,Metazosulfuron,REGISTERED,UNKNOWN,,
318,Metarhizium Anisopliae,REGISTERED,UNKNOWN,,Metarhizium anisopliae 1.5% AS | Metarhizium anisopliae 1.0%WP | Metarhizium anisopliae 1.15% WP | Metarhizium anisopliae 1.15% WP | Metarhizium anisopliae 10% GR | Metarhizium anisopliae 2% WP
319,Methabenzthiazuron,REGISTERED,UNKNOWN,,Methabenzthiazuron 70%WP
320,Methoxyfenozide,REGISTERED,UNKNOWN,,Methoxyfenozide 21.8%w/w SC | Methoxyfenozide 18% + Emamectin benzoate 1.8% SC | Methoxyfenozide 20 % + Chlorantraniliprole 5 % SC | Methoxyfenozide 5% + Chlorpyriphos 25% SE
321,Methyl Chlorophenoxy Acetic Acid,REGISTERED,UNKNOWN,,
322,Metiram,REGISTERED,UNKNOWN,,Metiram 70% WG | Metiram 44%+Dimethomorph 9%WG | Metiram 55%+Pyraclostrobin 5%WG
323,Metofluthrin,REGISTERED,UNKNOWN,,Metofluthrin 0.005% Mosquito coil | Metofluthrin 0.005% Mosquito coil | Metofluthrin 0.14% w/w Aerosol | Metofluthrin 0.32%LV
324,Metolachlor,REGISTERED,UNKNOWN,,Metolachlor 50%EC | Metolachlor 39.37% + Oxyfluorfen 3.94% EC | Metolachlor 35.98% + Sulfentrazone 11.51% EC
325,Metrafenone,REGISTERED,UNKNOWN,,Metrafenone 500 g/l SC
326,Metribuzin,REGISTERED,UNKNOWN,,"Metribuzin 70% WG | Metribuzin70% WP | MEtribuzine 21% + Pyroxasulfone 12.75% WG | Metribuzin 42% + Clodinafop propargyl 12%WG | Metribuzin 16.8% + 2,4-D sodium salt 56% WP"
327,Metsulfuron Methyl,REGISTERED,UNKNOWN,,Metsulfuron methyl 10%+Carfentrazone ethyl 40%DF | Metsulfuron methyl 10%+Chlorimuron ethyl 10%WP
328,Milbemectin,REGISTERED,UNKNOWN,,Milbemectin 01% EC
329,Myclobutanil,REGISTERED,UNKNOWN,,Myclobutanil 10% WP
330,Nitenpyram,REGISTERED,UNKNOWN,,Nitenpyram 15.0% + Fipronil 20.0% WP
331,Nitrobenzene,REGISTERED,UNKNOWN,,Nitrobenzene 20% w/w EW
332,Novaluron,REGISTERED,UNKNOWN,,Novaluron 08.80 %SC | Novaluron 10% EC | Novaluron 5.25% + Emamectin benzoate 0.9%w/w SC | Novaluron 5.25%+ Indoxacarb 4.5%SC | Novaluron 9.45% + Lambda cyhalothrin 1.9% ZC
333,Nuclear Polyhyderosis Virus Of Helicoverpaarmigera,REGISTERED,UNKNOWN,,
334,Nuclear Polyhyderosis Virus Of Spodopteralitura,REGISTERED,UNKNOWN,,
335,Orthosulfamuron,REGISTERED,UNKNOWN,,Orthosulfamuron 50%WG | Orthosulfamuron 0.6% + Pretilachlor 6% GR
336,Oxadiargyl,REGISTERED,UNKNOWN,,Oxadiargyl 6%EC | Oxadiargyl 80%WP | Oxadiargyl 1% + Pretilachlor 6% GR
337,Oxadiazon,REGISTERED,UNKNOWN,,Oxadiazon 25% EC
338,Oxathiapipron,REGISTERED,UNKNOWN,,Oxathiapipron 10.1% OD
339,Oxycarboxin,REGISTERED,UNKNOWN,,Oxycarboxin 20% EC
340,Oxydemeton-Methyl,REGISTERED,UNKNOWN,,Oxydemeton-methyl 25%EC
341,Paclobutrazol,REGISTERED,UNKNOWN,,Paclobutrazol 23% SC | Paclobutrazol 40% SC | Paclobutrazole 40% SC
342,Paraquat Dichloride,REGISTERED,UNKNOWN,,Paraquat dichloride 24% SL | Paraquat dichloride 7.50% + Glyphosate 30% SC | Paraquat dichloride 24% + Oxyfluorfen 5% SC | Paraquat dichloride 22.4% + Oxyfluorfen 1.99% EW
343,Penconazole,REGISTERED,UNKNOWN,,Penconazole 10% EC
344,Pencycuron,REGISTERED,UNKNOWN,,Pencycuron 22.9% SC
345,Pendimethalin,REGISTERED,UNKNOWN,Toxic to aquatic organisms; restricted in EU,Pendimethalin 30% EC | Pendimethalin 38.7% CS | Pendimethalin 5% Gr | Pendimethalin 30%+Imazethapyr 2% EC | Pendimethalin 35%+ Metribuzin 3.5%SE | Pendimethalin 38.4%+Pyrazosulfuron ethyl 0.85%ZC | Pendimethalin 15% + Pyrazosulfuron ethyl 0.15% GR | Pendimethalin 40%+ Metribuzin 8% EC | Pendimethalin 29.75% + Metribuzin 11.25% ZC
346,Penflufen,REGISTERED,UNKNOWN,,Penflufen 22.43% FS | Penflufen 13.28+Trifloxystrobin 13.28% FS
347,Penoxsulam,REGISTERED,UNKNOWN,,Penoxsulam 2.67% OD | Penoxsulam 21.7% SC | Penoxsulam 0.97%+ Butachlor 38.8% SE | Penoxsulam 1.02 %+ Cyhalofop-butyl 5.1% OD | Penoxsulam 1% + Pendimethalin 24% SE | Penoxsulam 2% + Oxadiazon 21% w/w SC
348,Permethrin,REGISTERED,UNKNOWN,,Permethrin 02.00% w/w for Import only | Permethrin 2.0% Aerosol | Permethrin 25% EC
349,Phenthoate,REGISTERED,UNKNOWN,,Phenthoate 2% DP | Phenthoate 50% EC | Phenthoate 45% + Cypermethrin 6% EC | Phenthoate 35% + Emamectin benzoate 3.5% EC
350,Phosalone,REGISTERED,UNKNOWN,,Phosalone 04 % DP | Phosalone 35 %EC
351,Phosmet,REGISTERED,UNKNOWN,,Phosmet50%WP
352,Picoxystrobin,REGISTERED,UNKNOWN,,Picoxystrobin 22.52% SC | Picoxystrobin 6.78%+Tricyclazole 20.33% SC | Picoxystrobin 7.05%+Propiconazole 11.7% SC
353,Picabutrazox,REGISTERED,UNKNOWN,,
354,Pinoxaden,REGISTERED,UNKNOWN,,Pinoxaden 5.1% EC
355,Polyoxin D Zinc Salt,REGISTERED,UNKNOWN,,Polyoxin D Zinc salt 5% SC
356,Prallethrin,REGISTERED,UNKNOWN,,Prallethrin 0.04% Mosquito coil | Prallethrin 0.04%Mosquitocoil | Prallethrin 0.04%Mosquitocoil | Prallethrin 0.5% Mosquitocoil | Prallethrin 0.8% Redmosquitomat | Prallethrin 0.8% Vaporizer | Prallethrin 1.2% Mat | Prallethrin 19% w/w VP
357,Pretilachlor,REGISTERED,UNKNOWN,,Pretilachlor 30.7% EC | Pretilachlor 37% EW | Pretilachlor 50% EC | Pretilachlor 27.4% w/w + Florpyrauxifen-benzyl 0.91% w/w EC | Pretilachlor 30.0% + Pyrazosulfuron Ethyl 0.75% WG | Pretilachlor 30.2% w/w + Florpyrauxifen-Benzyl 1.01% w/w EW | Pretilachlor 6%+Pyrazosulfuron Ethyl 0.15% | Pretilachlor 6.0%+Pyrazosulfuron Ethyl 0.15% GR | Pretilachlor 30.2% + Florpyrauxifen benzyl 1.01% EW
358,Primiphos-Methyl,REGISTERED,UNKNOWN,,
359,Prochloraz,REGISTERED,UNKNOWN,,Prochloraz 39.6% EC | Prochloraz 23.5%+Tricyclazole 20% SE | Prochloraz 24.4%+Tebuconazole 12.1%EW | Prochloraz 34.8%+Propiconazole 7.8%EC | Prochloraz 5.7%+Tebuconazole 1.4%ES
360,Profenophos,REGISTERED,UNKNOWN,,
361,Prohexadione Calcium,REGISTERED,UNKNOWN,,
362,Propamocarb Hydrochloride,REGISTERED,UNKNOWN,,
363,Propanil,REGISTERED,UNKNOWN,,Propanil 35% EC | Propanil 80% DF | Propanil 60% + Propyrisulfuron 2% WG
364,Propaquizafop,REGISTERED,UNKNOWN,,Propaquizafop10% EC | Propaquizafop 2.5%+ Imazethapyr 3.75% w/w ME | Propaquizafop 5%+ Oxyfluorfen12% w/w EC
365,Propergite,REGISTERED,UNKNOWN,,
366,Propetamphos,REGISTERED,UNKNOWN,,Propetamphos 1% Spray
367,Propiconazole,REGISTERED,UNKNOWN,,Propiconazole 25% EC | Propiconazole 10.7%+Tricyclazole 34.2%SE | Propiconazole 13.9%+Difenoconazole 13.9%EC | Propiconazole 10% + Thiophanate methyl 42% WP
368,Propineb,REGISTERED,UNKNOWN,,Propineb 70% WP | Propineb 54.2%+Tricyclazole 15.0%WP | Propineb 70.0% + Cymoxanil 6.0% WP
369,Propoxur,REGISTERED,UNKNOWN,,Propoxur 01% Spray | Propoxur 02% Bait | Propoxur 20% EC | Propoxur 0.5% + Cyfluthrin 0.025% Spray | Propoxur 0.75% + Cyfluthrin 0.025% Aerosol
370,Propyrisulfuron,REGISTERED,UNKNOWN,,
371,Pseudomonas Fluorescens,REGISTERED,UNKNOWN,,Pseudomonas fluorescens 1.0% WP | Pseudomonas fluorescens 1.5% AS | Pseudomonas fluorescens 5% SP | Pseudomonas fluorescens0.5% W.P | Pseudomonas fluorescens1.0% W.P | Pseudomonas fluorescens 1.0% W.P | Pseudomonas fluorescens 1.15% A.S | Pseudomonas fluorescens 1.5% WP | Pseudomonas fluorescens 1.75% WP | Pseudomonas fluorescens 2.0% A.S
372,Pydiflumetofen,REGISTERED,UNKNOWN,,Pydiflumetofen 6.89% + Difenoconazole 11.49% SC | Pydiflumetofen 13.6% + Propiconazole 11.4% SE
373,Pymetrozin,REGISTERED,UNKNOWN,,Pymetrozine 50% WG | Pymetrozine 14.8% + Fipronil 7.5% + Dinotefuran 4.8% SC | Pymetrozine 29.2% w/w + Dinotefuran 11.7% w/w WDG | Pymetrozine 11.3% + Triflumezopyrim 1.9% SC | Pymetrozine 11.3% w/w + Triflumezopyrim 1.9% w/w SC | Pymetrozine 25.0% + Thiamethoxam 17.5% + Hexaconazole 12.5% WG | Pymetrozine 29.2% w/w + Dinotefuran 11.7% w/w WDG | Pymetrozine 30 % + Tebuconazole 37 % WG | Pymetrozine 30% + Dinotefuran 10% + Pyraclostrobin 20% WG
374,Pyraflufen Ethyl,REGISTERED,UNKNOWN,,
375,Pyraclostrobin,REGISTERED,UNKNOWN,,Pyraclostrobin 100g/l CS | Pyraclostrobin 20% WG | Pyraclostrobin 133g/l+Epoxiconazole 50g/l | Pyraclostrobin 10% + Thifluzamide 10% SC | Pyraclostrobin 75 g/l + Tricyclazole 150 g/l ZC | Pyraclostrobin 10% + Metiram 30% + Difenconazole 10% WG | Pyraclostrobin 3.5% + Thiram 15% + Clothianidin 22.5% FS | Pyraclostrobin 10% + Fipronil 5% SC
376,Pyrazosulfuron Ethyl,REGISTERED,UNKNOWN,,
377,Pyrethrin,REGISTERED,UNKNOWN,,
378,Pyribenzoxim,REGISTERED,UNKNOWN,,Pyribenzoxim 05 % w/w EC | Pyribenzoxim 5 % w/w EC
379,Pyridaben,REGISTERED,UNKNOWN,,Pyridaben 20 % w/w WP
380,Pyridalyl,REGISTERED,UNKNOWN,,Pyridalyl 10% EC
381,Pyriofenone,REGISTERED,UNKNOWN,,Pyriofenone 18% w/v SC
382,Pyrifluquinazon,REGISTERED,UNKNOWN,,
383,Pyriftalid,REGISTERED,UNKNOWN,,Pyriftalid 31.0%w/w+ Bensulfuron methyl 15.7%w/w SC
384,Pyriproxyfen,REGISTERED,UNKNOWN,,Pyriproxyfen 0.50% GR | Pyriproxyfen10 % EC | Pyriproxyfen 10% EW | Pyriproxyfen 10% + Bifenthrin 10%EC | Pyriproxyfen 5% + Fenpropathrin 15%EC | Pyriproxyfen 5.0% + Diafenthiuron 25%SE | Pyriproxyfen 8% + Dinotefuran5% + Diafenthiuron18%SC
385,Pyrithiobac Sodium,REGISTERED,UNKNOWN,,Pyrithiobac Sodium 4.5 w/w % + Glyphosate 60% w/w SG | Pyrithiobac Sodium 6% + Quizalofop-ethyl 4% w/w EC | Pyrithiobac sodium 3.1% + Pendimethalin 34.0% ZC
386,Pyroxasulfon,REGISTERED,UNKNOWN,,Pyroxasulfone 85% WG | Pyroxasulfone 63.75% + Diclosulam 13% WG
387,Quinclorac,REGISTERED,UNKNOWN,,Quinclorac 250 g/l SC
388,Quizalofop Ethyl,REGISTERED,UNKNOWN,,Quizalofop ethyl 10%EC+Chlorimuronethyl 25%WP + Surfactant | Quizalofop ethyl 4%+Oxyfluorfen 6% EC | Quizalofop ethyl 7.5%+Imazethapyr 15%w/w EC | Quizalofop ethyl 8.8% + Oxyfluorfen 19% WG
389,Quizalofop-P-Tefuryl,REGISTERED,UNKNOWN,,
390,Renofluthrin,REGISTERED,UNKNOWN,,Renofluthrin 0.025% w/w Mosquito Coil | Renofluthrin 1.5% w/w Liquid Vaporiser | Renofluthrin 5% MUP
391,Saflufenacil,REGISTERED,UNKNOWN,,Saflufenacil 70.0% WG | Saflufenacil 68 g/l + Dimethenamid-P 600 g/l EC
392,S-Bioallethrin,REGISTERED,UNKNOWN,,S-Bioallethrin 2.4% Mat
393,Sedaxane,REGISTERED,UNKNOWN,,Sedaxane 12.61% + Azoxystrobin 3.15% + Thiamethoxam 22.6% FS | Sedaxane12.61%+Azoxystrobin3.15%+Thiamethoxam22.06%FS | Sedaxane 15.27% + Fludioxonil 7.64 + Metalaxyl-M 3.06% FS | Sedaxane 2.2% w/w + Fludioxonil 2.2% w/w+ Thiamethoxam 22.8%w/w FS | Sedaxane 2.36% w/w + Fludioxonil 2.36% w/w FS | Sedaxane 3.70% w/w + Fludioxonil 4.63% w/w FS
